"","x","y","class"
"1",4.46895373458497,0.438477168435739,1
"2",3.60717943140506,0.672736190729426,1
"3",2.51461581765711,1.1831456857096,1
"4",4.48852925314097,0.0411596144121562,1
"5",8.45380678922441,2.09631400776078,1
"6",5.66572856466445,1.22985618782711,1
"7",2.44966205479434,3.92524476354281,1
"8",4.51670543408089,-0.156896173565258,1
"9",6.43281038277793,-0.0728068225034795,1
"10",5.83756762759759,2.44394318534606,1
"11",6.77787284277242,0.517387870031905,1
"12",4.79831142988364,2.83829999087393,1
"13",9.12975672154637,3.21861114492457,1
"14",7.15420746502981,1.04937502208185,1
"15",4.77245329015879,3.6149785566441,1
"16",4.28379212973843,4.30601817570136,1
"17",5.11187980348444,3.40984928751826,1
"18",2.44002916771201,4.11171470297769,1
"19",7.1083753543872,2.47669715228515,1
"20",6.19195947298092,2.92653464524232,1
"21",8.13884305872676,4.6205193205794,1
"22",5.11847730914538,-0.77158487573816,1
"23",7.79917000812053,0.94228111862833,1
"24",8.4282857337313,4.66518188109751,1
"25",4.59522531359298,3.99656644724261,1
"26",9.75693525864387,2.59805271718881,1
"27",6.55929892800843,-0.687310534655125,1
"28",6.27606072113084,2.61782955891671,1
"29",2.60263738295781,1.04163323804473,1
"30",2.84878398144298,1.4811112096917,1
"31",8.03209346125013,3.54185713006536,1
"32",3.63499735823012,4.99283324343107,1
"33",7.11992870712484,5.71909179362121,1
"34",5.17919164820366,6.42523501390935,1
"35",7.55036816290193,1.83838390924678,1
"36",6.87444675398126,2.62397693328491,1
"37",4.33194324165947,4.15953885441691,1
"38",5.45639421144805,-0.00262764335434706,1
"39",6.88788548706936,4.65660884532094,1
"40",7.98694443468253,2.48351902284781,1
"41",7.8884525589125,3.49243039545426,1
"42",5.82746041081636,2.50388843902053,1
"43",5.63452621750505,0.706230485234315,1
"44",5.59250678389375,6.14848858370489,1
"45",6.182649389128,1.02697646002235,1
"46",3.08188418856477,0.462700160346407,1
"47",8.02350003069346,3.31829704098017,1
"48",5.92605492688173,0.479394650605652,1
"49",8.7647047292979,5.45962969681273,1
"50",3.66573614493513,3.91842886932454,1
"51",5.98506802657935,2.49015465493772,1
"52",7.1162193078649,6.02281575227254,1
"53",3.4137210324569,1.35623643753778,1
"54",6.5025782859624,2.77469465174711,1
"55",8.07463830874284,0.291040661168551,1
"56",4.17590115168593,4.70456799401651,1
"57",9.33936542597236,2.53245875604477,1
"58",5.54962310451431,3.95505269250817,1
"59",7.27885421800996,5.45407779002239,1
"60",5.08118571809298,4.17640069020892,1
"61",3.60716626105965,0.900266330921891,1
"62",8.71606730377323,3.02658218985526,1
"63",8.81353458793061,4.88468032697017,1
"64",5.6558716888142,2.76452648737395,1
"65",9.28698163586446,2.27734195442425,1
"66",4.31068404850096,3.27511631652138,1
"67",4.29104400483316,0.473025851312576,1
"68",2.85298231603692,4.85684612269982,1
"69",2.22608700852081,1.82225030656023,1
"70",8.84546333694574,3.94134634620832,1
"71",5.77657979468057,-0.338753564318726,1
"72",3.32808581403257,4.03689753045275,1
"73",8.48287076415389,3.82833471164039,1
"74",7.99508159972554,5.68935559957944,1
"75",3.7653932559779,3.41015141560552,1
"76",7.8434385579942,3.48259903817766,1
"77",9.93155645525362,3.44138647345823,1
"78",4.78010824836326,5.91693897794211,1
"79",5.82695876331507,6.68543738188965,1
"80",5.87178223685254,5.27662332658048,1
"81",5.52766256201931,5.74832768142983,1
"82",3.19685471549967,2.38670763990307,1
"83",6.09261649062683,1.10321788111073,1
"84",6.58133709884437,3.55108533445939,1
"85",5.65214160668181,3.68419221075602,1
"86",6.60748457695414,-0.654937199437448,1
"87",4.66749445551585,2.29422391063845,1
"88",4.44757670362702,5.01396025017205,1
"89",7.4154829953247,3.51428045397175,1
"90",6.20898933982652,5.63652345845899,1
"91",3.86756285144272,3.08993551735685,1
"92",8.97569498798535,4.52010344539139,1
"93",5.87551381784071,0.259538804968804,1
"94",4.42641189731236,2.17438937984383,1
"95",3.03691749624905,1.74787509921213,1
"96",5.58236524085231,2.682815262692,1
"97",7.41082639930019,6.42813898545944,1
"98",7.09154092140911,2.90679031061061,1
"99",6.58787279951363,5.59569887809173,1
"100",4.78589112152428,-0.486939337688868,1
"101",5.53128210734591,0.532122307308307,1
"102",5.1228234939803,6.68012564351517,1
"103",7.453544735146,5.43533068106117,1
"104",8.82138874205463,2.97727397137498,1
"105",7.61851340325707,0.126421574272642,1
"106",3.25623526940031,4.11581131356984,1
"107",3.79512925561118,4.91790493662599,1
"108",2.65774749879399,1.77530840271356,1
"109",4.37237626304036,1.85221998398574,1
"110",3.33384436342033,4.35668328956006,1
"111",3.62235368859249,1.34877582240739,1
"112",3.19423735772726,5.32918624840153,1
